No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2025/08/04,【EN】TA Program my pageの導線追加および改善,2025/08/06,Sachie,https://app.clickup.com/t/86etqnkz6
2,GSS,2025/08/04,improvement for API cancel error detection,2025/08/06,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4430
3,GSS,2025/08/04,"LinktivityAPI, support required info, passport number",2025/08/06,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4379
4,CVR,2025/08/11,Search suggest UI改善,2025/08/13,Sachie,https://app.clickup.com/t/31108037/DESIGN-2442
5,GSS,2025/08/11,"API error detection, include Ac/pkg name for all APIs",2025/08/13,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4373
6,GSS,2025/08/18,enable to set <=1hr to booking deadline time configuration,2025/08/20,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4597
7,APP,2025/08/25,[APP-1639] 新規クラッシュ調査 WebViewPage（iOS.Android5.0.22）,2025/08/27,Ayano,https://app.clickup.com/t/31108037/APP-1639
8,APP,2025/08/25,エリアアンケート追加実装（iOS.Android5.0.22）,2025/08/27,Ayano,https://app.clickup.com/t/86eubfgwb
9,APP,2025/08/25,[QA-17361] [Flutter App - Webview Home] Phone Status bar showing white color text（iOS.Android5.0.22）,2025/08/27,Ayano,https://app.clickup.com/t/31108037/QA-17361
10,APP,2025/08/25,[QA-17362] [Flutter App - Webview Home] Phone Status bar overlapped with Booking Details（iOS.Android5.0.22）,2025/08/27,Ayano,https://app.clickup.com/t/31108037/QA-17362
11,GSS,2025/08/25,Issue: Too many request,2025/08/27,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4612
12,GSS,2025/08/25,Issue: show trailing space for TourNote in API data,2025/08/27,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4616
13,GSS,2025/08/25,[CS24-3932]Kaizen: disable change book(API) when in cancel fee charged period,2025/08/27,MarikoShiga,https://app.clickup.com/t/31108037/CS24-3932
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,